,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],name
643,7401.854010673445,10972.8,1536156.2679635312,83650.11259036188,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.2681124716933106,0.012252832779047745,37489.24511602806,37489.24511602806,0.6850770365449701,True,1.6698058451609826e-05,0.0,0.0,sizing:main_route:cruise
644,7461.854010673445,10972.8,1549971.2055335129,83612.55273398664,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.2679920861299519,0.012247770149365001,37473.75529677315,37473.75529677315,0.6847939761782189,True,1.6698433209411955e-05,0.0,0.0,sizing:main_route:cruise
645,7521.854010673445,10972.8,1563786.1431034945,83575.0075539909,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.26787174760682136,0.012242712218391568,37458.27985387253,37458.27985387253,0.684511178524418,True,1.669880899010664e-05,0.0,0.0,sizing:main_route:cruise
646,7581.854010673445,10972.8,1577601.0806734762,83537.47703436823,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.2677514560726157,0.012237658980783153,37442.8187709746,37442.8187709746,0.684228643284759,True,1.6699185790274787e-05,0.0,0.0,sizing:main_route:cruise
647,7641.854010673445,10972.8,1591416.018243458,83499.96115913814,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.2676312114761149,0.012232610431204853,37427.372031756466,37427.372031756466,0.683946370160958,True,1.6699563606505945e-05,0.0,0.0,sizing:main_route:cruise
648,7701.854010673445,10972.8,1605230.9558134396,83462.45991234602,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.2675110137661817,0.012227566564331088,37411.93961992379,37411.93961992379,0.6836643588552529,True,1.6699942435398246e-05,0.0,0.0,sizing:main_route:cruise
649,7761.854010673445,10972.8,1619045.8933834212,83424.97327806306,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.2673908628917616,0.012222527374845627,37396.521519210815,37396.521519210815,0.6833826090704038,True,1.6700322273558408e-05,0.0,0.0,sizing:main_route:cruise
650,7821.854010673445,10972.8,1632860.830953403,83387.5012403862,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.26727075880188284,0.012217492857441533,37381.11771338024,37381.11771338024,0.683101120509691,True,1.6700703117601698e-05,0.0,0.0,sizing:main_route:cruise
651,7881.854010673445,10972.8,1646675.7685233846,83350.04378343809,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.2671507014456556,0.012212463006821142,37365.72818622312,37365.72818622312,0.6828198928769125,True,1.6701084964151906e-05,0.0,0.0,sizing:main_route:cruise
652,7941.854010673445,10972.8,1660490.7060933663,83312.60089136695,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.2670306907722726,0.012207437817696072,37350.35292155891,37350.35292155891,0.682538925876386,True,1.6701467809841332e-05,0.0,0.0,sizing:main_route:cruise
