,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],lift [N],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],alpha [rad],slope_angle_derivative [rad/s],name
54,589.1499999999819,113.62632263491126,675.835014585626,88103.41356271278,79.69343483568446,79.2593976814894,0.23448978888777652,1,0.7914034551289433,0.05690643932690972,,62126.49911564264,191884.0044933502,1.0,False,1.2464328427073966e-05,0.1501824125066795,0.0,0.0,,sizing:main_route:initial_climb
55,589.349999999982,116.01104497841585,691.5942925380187,88102.9352216624,79.70258155122713,79.2593976814894,0.23452302640584172,1,0.7913991583515009,0.05690584890568255,,62125.85453474315,191843.64144276254,1.0,False,1.2464874765617144e-05,0.15013725716280119,0.0,0.0,,sizing:main_route:initial_climb
56,589.549999999982,118.39532932576043,707.3554869213201,88102.45696026937,79.71172812961865,79.2593976814894,0.23455626432177323,1,0.7913948622895938,0.05690525858691588,,62125.21006570292,191803.29200467138,1.0,False,1.2465420986983238e-05,0.15009211681880671,0.0,0.0,,sizing:main_route:initial_climb
57,589.749999999982,120.77917574107592,723.1185976652247,88101.97877851306,79.72087457059831,79.2593976814894,0.2345895026345047,1,0.7913905669430364,0.05690466837058214,,62124.56570849188,191762.9561717318,1.0,False,1.246596709119771e-05,0.15004699146663153,0.0,0.0,,sizing:main_route:initial_climb
58,589.8457304831325,121.91999999999949,730.6645659395327,88101.74993376869,79.72525227832472,79.2593976814894,0.23460541161144008,1,0.7913885113073457,0.05690438591060879,,62124.25733830581,191743.65506452663,1.0,False,1.2466228431334502e-05,0.15002539844807347,1.4712465736907996,0.0,,sizing:main_route:initial_climb
59,590.0457304831325,121.91999999999949,746.6096163951977,88101.27186972783,80.01950159306288,79.55192762385848,0.23547129136255754,1,0.7855747302716648,0.0561093188815311,,61709.26099486427,191641.25425673308,1.0,False,1.2476362409204885e-05,0.0,1.474802695856588,0.0,,sizing:main_route:initial_climb
60,590.2457304831325,121.91999999999949,762.6135167138102,88100.7936725797,80.3144621322342,79.84516463479838,0.2363392640151851,1,0.7798109357871975,0.05532855785725421,,61300.007208991534,191538.7167806359,1.0,False,1.2486520881720815e-05,0.0,1.478292125899197,0.0,,sizing:main_route:initial_climb
61,590.4457304831326,121.91999999999949,778.6764091402571,88100.31534214236,80.61012055741404,80.13909545382424,0.23720929031868998,1,0.7740969074832784,0.054561847266198615,,60896.43537316824,191436.04806832498,1.0,False,1.2496703389505519e-05,0.0,1.481715612347119,0.0,,sizing:main_route:initial_climb
62,590.6457304831326,121.91999999999949,794.7984332517399,88099.83687824021,80.90646367988346,80.43370696928211,0.23808133146297444,1,0.7684324156924386,0.0538089442743361,,60498.495454330136,191333.25348175535,1.0,False,1.2506909478338106e-05,0.0,1.4850737829202507,0.0,,sizing:main_route:initial_climb
63,590.8457304831327,121.91999999999949,810.9797259877166,88099.3582807039,81.2034784364675,80.72898619432843,0.2389553490073757,1,0.7628172223578371,0.05306960565869779,,60106.13347610635,191230.33832128078,1.0,False,1.2517138698321434e-05,0.0,1.488367309411993,0.0,,sizing:main_route:initial_climb
64,591.0457304831327,121.91999999999949,827.2204216750101,88098.8795493703,81.5011518983499,81.02492027569322,0.23983130490660476,1,0.7572510812847351,0.05234358755034739,,59719.291089064616,191127.30782272856,1.0,False,1.2527390604185688e-05,0.0,1.4915969125353445,0.0,,sizing:main_route:initial_climb
65,591.2457304831328,121.91999999999949,843.5206520546801,88098.40068408225,81.79947128085698,81.32149650340688,0.24070916153953723,1,0.7517337383726159,0.051630659132997025,,59337.921167682616,191024.1671541636,1.0,False,1.2537664755625338e-05,0.0,1.4947631848471707,0.0,,sizing:main_route:initial_climb
66,591.4457304831328,121.91999999999949,859.8805463108515,88097.92168468866,82.09842391782641,81.6187022853186,0.24158888163378905,1,0.7462649324905336,0.05093057871280642,,58961.96048467295,190920.92142490277,1.0,False,1.25479607164164e-05,0.0,1.4978669010209373,0.0,,sizing:main_route:initial_climb
